Frequency,Magnitue,Phase
1.00902052376435e+00,-2.78119829495742e+01,8.31317873705379e+01
1.00925288607668e+00,-2.78099986731799e+01,8.31305732096687e+01
1.00948530189857e+00,-2.78080144031640e+01,8.31293586971286e+01
1.00971777124234e+00,-2.78060301395291e+01,8.31281438328603e+01
1.00995029412032e+00,-2.78040458822778e+01,8.31269286168068e+01
1.01018287054483e+00,-2.78020616314130e+01,8.31257130489108e+01
1.01041550052821e+00,-2.78000773869371e+01,8.31244971291151e+01
1.01064818408279e+00,-2.77980931488530e+01,8.31232808573625e+01
1.01088092122091e+00,-2.77961089171631e+01,8.31220642335956e+01
1.01111371195490e+00,-2.77941246918704e+01,8.31208472577573e+01
1.01134655629712e+00,-2.77921404729773e+01,8.31196299297903e+01
1.01157945425989e+00,-2.77901562604866e+01,8.31184122496372e+01
1.01181240585558e+00,-2.77881720544010e+01,8.31171942172407e+01
1.01204541109654e+00,-2.77861878547231e+01,8.31159758325436e+01
1.01227846999511e+00,-2.77842036614556e+01,8.31147570954885e+01
1.01251158256365e+00,-2.77822194746012e+01,8.31135380060180e+01
1.01274474881453e+00,-2.77802352941625e+01,8.31123185640747e+01
1.01297796876010e+00,-2.77782511201423e+01,8.31110987696014e+01
1.01321124241273e+00,-2.77762669525432e+01,8.31098786225404e+01
1.01344456978479e+00,-2.77742827913679e+01,8.31086581228346e+01
1.01367795088864e+00,-2.77722986366191e+01,8.31074372704264e+01
1.01391138573667e+00,-2.77703144882995e+01,8.31062160652583e+01
1.01414487434125e+00,-2.77683303464117e+01,8.31049945072730e+01
1.01437841671476e+00,-2.77663462109584e+01,8.31037725964129e+01
1.01461201286958e+00,-2.77643620819424e+01,8.31025503326205e+01
1.01484566281809e+00,-2.77623779593662e+01,8.31013277158384e+01
1.01507936657269e+00,-2.77603938432326e+01,8.31001047460091e+01
1.01531312414576e+00,-2.77584097335444e+01,8.30988814230749e+01
1.01554693554969e+00,-2.77564256303040e+01,8.30976577469783e+01
1.01578080079689e+00,-2.77544415335144e+01,8.30964337176618e+01
1.01601471989976e+00,-2.77524574431780e+01,8.30952093350678e+01
1.01624869287069e+00,-2.77504733592977e+01,8.30939845991387e+01
1.01648271972209e+00,-2.77484892818762e+01,8.30927595098168e+01
1.01671680046637e+00,-2.77465052109160e+01,8.30915340670446e+01
1.01695093511594e+00,-2.77445211464200e+01,8.30903082707644e+01
1.01718512368321e+00,-2.77425370883908e+01,8.30890821209186e+01
1.01741936618060e+00,-2.77405530368311e+01,8.30878556174494e+01
1.01765366262053e+00,-2.77385689917435e+01,8.30866287602992e+01
1.01788801301542e+00,-2.77365849531309e+01,8.30854015494103e+01
1.01812241737769e+00,-2.77346009209959e+01,8.30841739847250e+01
1.01835687571978e+00,-2.77326168953411e+01,8.30829460661855e+01
1.01859138805411e+00,-2.77306328761694e+01,8.30817177937342e+01
1.01882595439312e+00,-2.77286488634833e+01,8.30804891673131e+01
1.01906057474924e+00,-2.77266648572856e+01,8.30792601868646e+01
1.01929524913492e+00,-2.77246808575791e+01,8.30780308523309e+01
1.01952997756260e+00,-2.77226968643663e+01,8.30768011636540e+01
1.01976476004471e+00,-2.77207128776500e+01,8.30755711207764e+01
