Frequency,Magnitude,Phase
1.07151930523761e+00,-2.65119038489688e+01,8.65943293781139e+01
1.07398941234124e+00,-2.64919444416815e+01,8.65881256452857e+01
1.07646521362983e+00,-2.64719852143269e+01,8.65819038913824e+01
1.07894672222983e+00,-2.64520261677649e+01,8.65756640838880e+01
1.08143395129794e+00,-2.64320673028597e+01,8.65694061901907e+01
1.08392691402120e+00,-2.64121086204785e+01,8.65631301775901e+01
1.08642562361706e+00,-2.63921501214930e+01,8.65568360132913e+01
1.08893009333343e+00,-2.63721918067785e+01,8.65505236644076e+01
1.09144033644876e+00,-2.63522336772141e+01,8.65441930979553e+01
1.09395636627209e+00,-2.63322757336829e+01,8.65378442808610e+01
1.09647819614318e+00,-2.63123179770720e+01,8.65314771799568e+01
1.09900583943252e+00,-2.62923604082721e+01,8.65250917619847e+01
1.10153930954141e+00,-2.62724030281776e+01,8.65186879935876e+01
1.10407861990207e+00,-2.62524458376878e+01,8.65122658413162e+01
1.10662378397766e+00,-2.62324888377055e+01,8.65058252716293e+01
1.10917481526240e+00,-2.62125320291373e+01,8.64993662508909e+01
1.11173172728159e+00,-2.61925754128936e+01,8.64928887453691e+01
1.11429453359173e+00,-2.61726189898895e+01,8.64863927212387e+01
1.11686324778056e+00,-2.61526627610436e+01,8.64798781445795e+01
1.11943788346715e+00,-2.61327067272792e+01,8.64733449813783e+01
1.12201845430196e+00,-2.61127508895226e+01,8.64667931975254e+01
1.12460497396692e+00,-2.60927952487056e+01,8.64602227588133e+01
1.12719745617551e+00,-2.60728398057630e+01,8.64536336309457e+01
1.12979591467280e+00,-2.60528845616342e+01,8.64470257795254e+01
1.13240036323556e+00,-2.60329295172628e+01,8.64403991700623e+01
1.13501081567231e+00,-2.60129746735961e+01,8.64337537679698e+01
1.13762728582343e+00,-2.59930200315866e+01,8.64270895385653e+01
1.14024978756117e+00,-2.59730655921901e+01,8.64204064470701e+01
1.14287833478977e+00,-2.59531113563672e+01,8.64137044586116e+01
1.14551294144553e+00,-2.59331573250821e+01,8.64069835382185e+01
1.14815362149688e+00,-2.59132034993044e+01,8.64002436508219e+01
1.15080038894443e+00,-2.58932498800066e+01,8.63934847612597e+01
1.15345325782109e+00,-2.58732964681666e+01,8.63867068342700e+01
1.15611224219210e+00,-2.58533432647662e+01,8.63799098344970e+01
1.15877735615512e+00,-2.58333902707916e+01,8.63730937264844e+01
1.16144861384034e+00,-2.58134374872338e+01,8.63662584746803e+01
1.16412602941049e+00,-2.57934849150872e+01,8.63594040434358e+01
1.16680961706096e+00,-2.57735325553516e+01,8.63525303970044e+01
1.16949939101987e+00,-2.57535804090311e+01,8.63456374995395e+01
1.17219536554813e+00,-2.57336284771341e+01,8.63387253150998e+01
1.17489755493953e+00,-2.57136767606729e+01,8.63317938076435e+01
1.17760597352080e+00,-2.56937252606654e+01,8.63248429410328e+01
1.18032063565173e+00,-2.56737739781336e+01,8.63178726790288e+01
1.18304155572516e+00,-2.56538229141036e+01,8.63108829852952e+01
1.18576874816716e+00,-2.56338720696062e+01,8.63038738234006e+01
1.18850222743702e+00,-2.56139214456775e+01,8.62968451568081e+01
