Frequency,Magnitude,Phase
1.01297796876010e+00,-3.82482395124357e+01,8.83611334778728e+01
1.01321124241273e+00,-3.82462400109129e+01,8.83611380508901e+01
1.01344456978479e+00,-3.82442405091471e+01,8.83611425370436e+01
1.01367795088864e+00,-3.82422410071384e+01,8.83611469363319e+01
1.01391138573667e+00,-3.82402415048869e+01,8.83611512487568e+01
1.01414487434125e+00,-3.82382420023928e+01,8.83611554743176e+01
1.01437841671476e+00,-3.82362424996561e+01,8.83611596130146e+01
1.01461201286958e+00,-3.82342429966769e+01,8.83611636648485e+01
1.01484566281809e+00,-3.82322434934554e+01,8.83611676298187e+01
1.01507936657269e+00,-3.82302439899916e+01,8.83611715079256e+01
1.01531312414576e+00,-3.82282444862858e+01,8.83611752991694e+01
1.01554693554969e+00,-3.82262449823378e+01,8.83611790035507e+01
1.01578080079689e+00,-3.82242454781479e+01,8.83611826210695e+01
1.01601471989976e+00,-3.82222459737161e+01,8.83611861517257e+01
1.01624869287069e+00,-3.82202464690427e+01,8.83611895955194e+01
1.01648271972209e+00,-3.82182469641277e+01,8.83611929524510e+01
1.01671680046637e+00,-3.82162474589710e+01,8.83611962225204e+01
1.01695093511594e+00,-3.82142479535731e+01,8.83611994057280e+01
1.01718512368321e+00,-3.82122484479338e+01,8.83612025020741e+01
1.01741936618060e+00,-3.82102489420533e+01,8.83612055115575e+01
1.01765366262053e+00,-3.82082494359317e+01,8.83612084341806e+01
1.01788801301542e+00,-3.82062499295692e+01,8.83612112699417e+01
1.01812241737769e+00,-3.82042504229657e+01,8.83612140188417e+01
1.01835687571978e+00,-3.82022509161215e+01,8.83612166808802e+01
1.01859138805411e+00,-3.82002514090366e+01,8.83612192560576e+01
1.01882595439312e+00,-3.81982519017112e+01,8.83612217443740e+01
1.01906057474924e+00,-3.81962523941451e+01,8.83612241458303e+01
1.01929524913492e+00,-3.81942528863388e+01,8.83612264604252e+01
1.01952997756260e+00,-3.81922533782922e+01,8.83612286881593e+01
1.01976476004471e+00,-3.81902538700055e+01,8.83612308290331e+01
1.01999959659371e+00,-3.81882543614788e+01,8.83612328830457e+01
1.02023448722206e+00,-3.81862548527120e+01,8.83612348501987e+01
1.02046943194219e+00,-3.81842553437055e+01,8.83612367304909e+01
1.02070443076658e+00,-3.81822558344591e+01,8.83612385239226e+01
1.02093948370767e+00,-3.81802563249732e+01,8.83612402304944e+01
1.02117459077794e+00,-3.81782568152477e+01,8.83612418502064e+01
1.02140975198984e+00,-3.81762573052829e+01,8.83612433830568e+01
1.02164496735585e+00,-3.81742577950787e+01,8.83612448290483e+01
1.02188023688843e+00,-3.81722582846352e+01,8.83612461881792e+01
1.02211556060006e+00,-3.81702587739527e+01,8.83612474604502e+01
1.02235093850322e+00,-3.81682592630311e+01,8.83612486458613e+01
1.02258637061039e+00,-3.81662597518707e+01,8.83612497444122e+01
1.02282185693404e+00,-3.81642602404714e+01,8.83612507561035e+01
1.02305739748666e+00,-3.81622607288334e+01,8.83612516809350e+01
1.02329299228075e+00,-3.81602612169568e+01,8.83612525189064e+01
1.02352864132878e+00,-3.81582617048418e+01,8.83612532700175e+01
1.02376434464327e+00,-3.81562621924883e+01,8.83612539342692e+01
1.02400010223669e+00,-3.81542626798966e+01,8.83612545116604e+01
1.02423591412156e+00,-3.81522631670666e+01,8.83612550021922e+01
1.02447178031037e+00,-3.81502636539987e+01,8.83612554058640e+01
