Frequency,Magnitude,Phase
1.00995029412032e+00,-8.91924235901365e+00,-1.11698582493971e+02
1.01018287054483e+00,-8.91748490774389e+00,-1.11702811876374e+02
1.01041550052821e+00,-8.91572755424151e+00,-1.11707042081228e+02
1.01064818408279e+00,-8.91397029854134e+00,-1.11711273108562e+02
1.01088092122091e+00,-8.91221314067742e+00,-1.11715504958407e+02
1.01111371195490e+00,-8.91045608068402e+00,-1.11719737630793e+02
1.01134655629712e+00,-8.90869911859566e+00,-1.11723971125750e+02
1.01157945425989e+00,-8.90694225444664e+00,-1.11728205443308e+02
1.01181240585558e+00,-8.90518548827158e+00,-1.11732440583498e+02
1.01204541109654e+00,-8.90342882010465e+00,-1.11736676546348e+02
1.01227846999511e+00,-8.90167224998024e+00,-1.11740913331889e+02
1.01251158256365e+00,-8.89991577793247e+00,-1.11745150940150e+02
1.01274474881453e+00,-8.89815940399624e+00,-1.11749389371162e+02
1.01297796876010e+00,-8.89640312820588e+00,-1.11753628624953e+02
1.01321124241273e+00,-8.89464695059535e+00,-1.11757868701554e+02
1.01344456978479e+00,-8.89289087119975e+00,-1.11762109600993e+02
1.01367795088864e+00,-8.89113489005288e+00,-1.11766351323302e+02
1.01391138573667e+00,-8.88937900718952e+00,-1.11770593868507e+02
1.01414487434125e+00,-8.88762322264408e+00,-1.11774837236641e+02
1.01437841671476e+00,-8.88586753645095e+00,-1.11779081427730e+02
1.01461201286958e+00,-8.88411194864450e+00,-1.11783326441805e+02
1.01484566281809e+00,-8.88235645925948e+00,-1.11787572278895e+02
1.01507936657269e+00,-8.88060106833014e+00,-1.11791818939029e+02
1.01531312414576e+00,-8.87884577589116e+00,-1.11796066422236e+02
1.01554693554969e+00,-8.87709058197672e+00,-1.11800314728546e+02
1.01578080079689e+00,-8.87533548662162e+00,-1.11804563857985e+02
1.01601471989976e+00,-8.87358048986036e+00,-1.11808813810585e+02
1.01624869287069e+00,-8.87182559172712e+00,-1.11813064586373e+02
1.01648271972209e+00,-8.87007079225670e+00,-1.11817316185379e+02
1.01671680046637e+00,-8.86831609148356e+00,-1.11821568607632e+02
1.01695093511594e+00,-8.86656148944220e+00,-1.11825821853159e+02
1.01718512368321e+00,-8.86480698616737e+00,-1.11830075921988e+02
1.01741936618060e+00,-8.86305258169334e+00,-1.11834330814151e+02
1.01765366262053e+00,-8.86129827605494e+00,-1.11838586529673e+02
1.01788801301542e+00,-8.85954406928656e+00,-1.11842843068584e+02
1.01812241737769e+00,-8.85778996142262e+00,-1.11847100430912e+02
1.01835687571978e+00,-8.85603595249814e+00,-1.11851358616686e+02
1.01859138805411e+00,-8.85428204254729e+00,-1.11855617625933e+02
1.01882595439312e+00,-8.85252823160471e+00,-1.11859877458683e+02
1.01906057474924e+00,-8.85077451970522e+00,-1.11864138114961e+02
1.01929524913492e+00,-8.84902090688344e+00,-1.11868399594798e+02
1.01952997756260e+00,-8.84726739317360e+00,-1.11872661898222e+02
1.01976476004471e+00,-8.84551397861091e+00,-1.11876925025258e+02
1.01999959659371e+00,-8.84376066322954e+00,-1.11881188975937e+02
1.02023448722206e+00,-8.84200744706424e+00,-1.11885453750285e+02
1.02046943194219e+00,-8.84025433014975e+00,-1.11889719348331e+02
1.02070443076658e+00,-8.83850131252071e+00,-1.11893985770101e+02
1.02093948370767e+00,-8.83674839421159e+00,-1.11898253015624e+02
1.02117459077794e+00,-8.83499557525726e+00,-1.11902521084927e+02
