Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Cs (F),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
19.8195,2505971.80846956,-7306083.00389103,1.09911424285998E-09,2505971.80846956,-7306083.00389103,-71.0681346328253
20.199717,1754223.11108388,-7262120.46074592,1.08495418195796E-09,1754223.11108388,-7262120.46074592,-76.4198928857821
20.587227,2217170.5331529,-6726842.33180997,1.14924078451279E-09,2217170.5331529,-6726842.33180997,-71.757754768656
20.982171,1986872.92214969,-7081883.94594301,1.07107751923604E-09,1986872.92214969,-7081883.94594301,-74.3281581549721
21.384692,1936837.42854307,-6756190.33009761,1.10157800636306E-09,1936837.42854307,-6756190.33009761,-74.003675028491
21.794935,1676824.84279165,-6755014.14274835,1.08103135538308E-09,1676824.84279165,-6755014.14274835,-76.059023068994
22.213048,1572104.65893832,-6638569.61200357,1.07928828464042E-09,1572104.65893832,-6638569.61200357,-76.6770063204463
22.639182,1565085.67970576,-6917476.54147203,1.01627608469316E-09,1565085.67970576,-6917476.54147203,-77.2514139990611
23.073491,1664159.97218621,-6419833.36175478,1.07444222721334E-09,1664159.97218621,-6419833.36175478,-75.4675626057724
23.516131,1498158.82402377,-6234112.56149715,1.08562446382577E-09,1498158.82402377,-6234112.56149715,-76.4871326597424
23.967263,1653129.70348681,-6141499.87197531,1.08125279463271E-09,1653129.70348681,-6141499.87197531,-74.9345654178059
24.42705,1522669.01580008,-6156531.1679122,1.05831031192301E-09,1522669.01580008,-6156531.1679122,-76.1080542624783
24.895657,1738538.07909543,-6045139.22085834,1.05752400076328E-09,1738538.07909543,-6045139.22085834,-73.9551495160757
25.373254,1080417.15535483,-6211246.76975146,1.00986932529822E-09,1080417.15535483,-6211246.76975146,-80.1323994072924
25.860014,1028870.58240627,-5826571.60958487,1.05627812924325E-09,1028870.58240627,-5826571.60958487,-79.9858018880287
26.356111,1645652.41102983,-5866183.75921434,1.02939757423318E-09,1645652.41102983,-5866183.75921434,-74.329490751363
26.861725,1534062.13560188,-5816257.24626389,1.01869136858479E-09,1534062.13560188,-5816257.24626389,-75.2244901920642
27.377039,1113265.37293044,-5630299.81648993,1.03252870723604E-09,1113265.37293044,-5630299.81648993,-78.8153162465158
27.902239,907562.69102029,-5702526.85243533,1.00026192631247E-09,907562.69102029,-5702526.85243533,-80.957160830892
28.437514,1234745.81950234,-5442357.59865156,1.0283511295924E-09,1234745.81950234,-5442357.59865156,-77.2172951038338
28.983058,1356554.60163179,-5268270.0256289,1.04233638748998E-09,1356554.60163179,-5268270.0256289,-75.5602891488446
29.539067,1097237.02371325,-5093512.51118531,1.05780588906609E-09,1097237.02371325,-5093512.51118531,-77.8432008047135
30.105743,975753.768726229,-5217485.22322676,1.01323353212572E-09,975753.768726229,-5217485.22322676,-79.4071305557954
30.68329,987743.697387737,-4931806.47546627,1.05174917581647E-09,987743.697387737,-4931806.47546627,-78.6746258550823
31.271917,907464.529809655,-4887458.84310929,1.0413159332975E-09,907464.529809655,-4887458.84310929,-79.4815546445278
31.871835,869914.339504963,-4780474.02931641,1.04458094690198E-09,869914.339504963,-4780474.02931641,-79.6866003819972
32.483263,855408.083841789,-4787777.36096029,1.02335551978715E-09,855408.083841789,-4787777.36096029,-79.8701346923772
33.10642,795559.245996778,-4705539.66203199,1.02164137503426E-09,795559.245996778,-4705539.66203199,-80.4038261264825
33.741532,775231.233719897,-4764295.48156726,9.9004890016357E-10,775231.233719897,-4764295.48156726,-80.7580082853883
34.388828,785648.656739313,-4650328.12765373,9.95220146221024E-10,785648.656739313,-4650328.12765373,-80.4107264251672
35.048541,863158.460441305,-4427985.36259679,1.02551970874288E-09,863158.460441305,-4427985.36259679,-78.969514296005
35.720911,758942.327392178,-4589029.19101196,9.70905106074065E-10,758942.327392178,-4589029.19101196,-80.6093153601072
36.406179,888522.949898947,-4399539.24824513,9.93660063205461E-10,888522.949898947,-4399539.24824513,-78.5822278916985
37.104593,774241.400105922,-4187752.40820175,1.02426294733726E-09,774241.400105922,-4187752.40820175,-79.5253011773717
37.816406,835000.743322839,-4201845.19539122,1.00161272093393E-09,835000.743322839,-4201845.19539122,-78.7604706899597
38.541874,899314.291023297,-4204396.26006309,9.82163212292605E-10,899314.291023297,-4204396.26006309,-77.9264532448404
39.281259,541347.791115282,-4374224.98753894,9.26261505601757E-10,541347.791115282,-4374224.98753894,-82.9450292231933
40.034829,745674.040170557,-3850819.87264666,1.03235472395025E-09,745674.040170557,-3850819.87264666,-79.0408595870918
40.802855,666986.616345251,-3971101.75189623,9.82242145073601E-10,666986.616345251,-3971101.75189623,-80.4655880410027
41.585615,805880.584697611,-3967145.36939404,9.6471468251089E-10,805880.584697611,-3967145.36939404,-78.517257133782
42.383391,880203.72789266,-3656711.17263428,1.02691328491008E-09,880203.72789266,-3656711.17263428,-76.4658561375485
43.196472,855669.827014998,-3774375.32479718,9.7617295057575E-10,855669.827014998,-3774375.32479718,-77.2266674464857
44.02515,780555.450957067,-3805479.82007682,9.49969942046651E-10,780555.450957067,-3805479.82007682,-78.4086307165148
44.869727,577055.9604938,-3814074.25512547,9.29988462118323E-10,577055.9604938,-3814074.25512547,-81.3966007129936
45.730505,503249.298162219,-3418249.25114144,1.0181468149671E-09,503249.298162219,-3418249.25114144,-81.6248345978388
46.607797,614688.957150755,-3760452.25334657,9.08074493475527E-10,614688.957150755,-3760452.25334657,-80.7164524405274
47.501918,667286.290654022,-3307821.65905117,1.01290076574991E-09,667286.290654022,-3307821.65905117,-78.5947995171797
48.413193,277129.861567347,-3191857.78575181,1.02994224524355E-09,277129.861567347,-3191857.78575181,-85.0377952907723
49.341949,358472.871423008,-3371494.64966217,9.5671229833392E-10,358472.871423008,-3371494.64966217,-83.9308501726756
50.288522,320982.028442752,-3381989.69887028,9.35791248728444E-10,320982.028442752,-3381989.69887028,-84.5783419301429
51.253255,418907.849101438,-3124247.22228291,9.9392425153899E-10,418907.849101438,-3124247.22228291,-82.3631689640582
52.236494,549950.15702483,-2980165.99051627,1.02236425553457E-09,549950.15702483,-2980165.99051627,-79.5444477046342
53.238597,621410.088333778,-3131366.90186204,9.54683843419967E-10,621410.088333778,-3131366.90186204,-78.7756559625649
54.259923,392932.866019741,-2993901.87133788,9.79723210065218E-10,392932.866019741,-2993901.87133788,-82.5229849044981
55.300843,476461.226405202,-3036877.38575457,9.47678706150664E-10,476461.226405202,-3036877.38575457,-81.0834470719308
56.361731,490773.646962381,-2795497.50198418,1.01012867612543E-09,490773.646962381,-2795497.50198418,-80.0427026776743
57.442972,288771.536669474,-2892958.49903007,9.57725446516708E-10,288771.536669474,-2892958.49903007,-84.2996883905097
58.544955,404005.090565976,-2926127.68339571,9.29046351669872E-10,404005.090565976,-2926127.68339571,-82.1389763229242
59.668078,398580.539846602,-2925430.76431461,9.11776214693856E-10,398580.539846602,-2925430.76431461,-82.2414068849016
60.812747,354687.11390663,-2853431.24809188,9.17187436419344E-10,354687.11390663,-2853431.24809188,-82.9143661335044
61.979376,312918.05237469,-2768358.51691246,9.27578341028761E-10,312918.05237469,-2768358.51691246,-83.551013447894
63.168385,324393.746971779,-2608677.8160838,9.65828269730497E-10,324393.746971779,-2608677.8160838,-82.9115550755327
64.380204,438291.804635585,-2520500.63384865,9.80801163036811E-10,438291.804635585,-2520500.63384865,-80.1354315817242
65.615271,337630.70072112,-2622681.58046253,9.24846460160267E-10,337630.70072112,-2622681.58046253,-82.6643785504103
66.87403,358798.814039463,-2468435.40238433,9.64141705790358E-10,358798.814039463,-2468435.40238433,-81.7297065708611
68.156938,312027.321147792,-2478958.05696085,9.41978264169462E-10,312027.321147792,-2478958.05696085,-82.8258886653606
69.464458,383603.434235827,-2432314.24794119,9.41971572141128E-10,383603.434235827,-2432314.24794119,-81.0376283588165
70.79706,295470.915574691,-2364567.76096645,9.50721126171898E-10,295470.915574691,-2364567.76096645,-82.8773707838611
72.155227,300778.871310746,-2299740.66187598,9.59121155160704E-10,300778.871310746,-2299740.66187598,-82.5486840730545
73.539449,224032.377864556,-2267111.18723748,9.54612111426977E-10,224032.377864556,-2267111.18723748,-84.3564431187169
74.950226,248521.744660621,-2266805.1953386,9.36770024890666E-10,248521.744660621,-2266805.1953386,-83.74335135395
76.388068,245145.634525363,-2220739.17095949,9.38203508254049E-10,245145.634525363,-2220739.17095949,-83.7006691666445
77.853492,268578.25802156,-2140163.60267159,9.55201643129838E-10,268578.25802156,-2140163.60267159,-82.8471017397433
79.34703,326665.836751258,-2092126.8669343,9.58741307531669E-10,326665.836751258,-2092126.8669343,-81.1254626004195
80.869219,280373.182050981,-2136322.79171175,9.21234107717348E-10,280373.182050981,-2136322.79171175,-82.5231755015929
82.42061,232136.083640435,-2059953.08680038,9.3740437759558E-10,232136.083640435,-2059953.08680038,-83.5704641711928
84.001763,234888.758201349,-2002514.83535583,9.46141274300761E-10,234888.758201349,-2002514.83535583,-83.3099534085724
85.613248,206461.650182548,-2031563.31033112,9.15058368306333E-10,206461.650182548,-2031563.31033112,-84.1971255063692
87.255648,273931.127438877,-1970722.4505586,9.25552630364358E-10,273931.127438877,-1970722.4505586,-82.0865715145972
88.929556,203374.298478629,-1907032.11528422,9.38460506505477E-10,203374.298478629,-1907032.11528422,-83.9127332003867
90.635576,214092.394116322,-1920122.35042642,9.14518572292351E-10,214092.394116322,-1920122.35042642,-83.6378360118066
92.374324,233695.703106925,-1866824.2341794,9.22922913455901E-10,233695.703106925,-1866824.2341794,-82.8646284878988
94.146428,220847.545947082,-1817790.80787273,9.29977372003222E-10,220847.545947082,-1817790.80787273,-83.0729540406181
95.952529,214007.032040133,-1776845.54380291,9.33499368237625E-10,214007.032040133,-1776845.54380291,-83.1322562686568
97.793277,209359.998907673,-1747909.09336091,9.3109134688031E-10,209359.998907673,-1747909.09336091,-83.1698001575788
99.669338,184180.506036174,-1758183.60717989,9.08226838704212E-10,184180.506036174,-1758183.60717989,-84.019727897483
101.581389,207520.040945059,-1697280.29918026,9.23107786715545E-10,207520.040945059,-1697280.29918026,-83.0292596717107
103.530121,211314.337356507,-1651926.84598862,9.30599037382823E-10,211314.337356507,-1651926.84598862,-82.710318451919
105.516238,205551.385903247,-1625973.10187386,9.27657106607154E-10,205551.385903247,-1625973.10187386,-82.7950327559066
107.540456,191959.995146226,-1596036.05168752,9.2726861564012E-10,191959.995146226,-1596036.05168752,-83.1418091119981
109.603507,161127.479588135,-1578999.23430978,9.19631336948881E-10,161127.479588135,-1578999.23430978,-84.1734745043768
111.706134,158902.587303139,-1554356.16242793,9.16626841671957E-10,158902.587303139,-1554356.16242793,-84.1629028412277
113.849099,187157.784045183,-1511082.21213724,9.25129309777678E-10,187157.784045183,-1511082.21213724,-82.9394864036018
116.033174,170855.053412949,-1498252.31033843,9.15488732169529E-10,170855.053412949,-1498252.31033843,-83.4943084312813
118.259149,161528.364548412,-1474130.52888783,9.12955147746766E-10,161528.364548412,-1474130.52888783,-83.7467425475583
120.527826,153348.885460292,-1444717.17059525,9.14007951790224E-10,153348.885460292,-1444717.17059525,-83.9410507796224
122.840026,154938.43410508,-1421191.19485601,9.11649134173648E-10,154938.43410508,-1421191.19485601,-83.7781792011932
125.196582,151421.468933324,-1392446.36213877,9.12954606785911E-10,151421.468933324,-1392446.36213877,-83.793762208676
127.598347,133504.878870117,-1392337.47338569,8.95840250268174E-10,133504.878870117,-1392337.47338569,-84.5229139966401
130.046187,150453.369989272,-1327811.00955004,9.21692902699411E-10,150453.369989272,-1327811.00955004,-83.5354260036472
132.540986,145982.145944449,-1329393.96756428,9.03267180636994E-10,145982.145944449,-1329393.96756428,-83.7333984022935
135.083646,153920.308041622,-1292298.49948236,9.11705379931943E-10,153920.308041622,-1292298.49948236,-83.2077358234683
