Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Rs (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
47.501918,306561.661247812,-3445751.62187109,306561.661247812,306561.661247812,-3445751.62187109,-84.915894461373
48.413193,285223.818919126,-3191325.01756369,285223.818919126,285223.818919126,-3191325.01756369,-84.8927747728945
49.341949,287306.808784207,-3116452.69346606,287306.808784207,287306.808784207,-3116452.69346606,-84.7327715475628
50.288522,187728.862294366,-3176368.15118012,187728.862294366,187728.862294366,-3176368.15118012,-86.6176546712765
51.253255,210494.485500067,-3111768.78582987,210494.485500067,210494.485500067,-3111768.78582987,-86.1301428825941
52.236494,382191.262897845,-3113310.96667462,382191.262897845,382191.262897845,-3113310.96667462,-83.0013644269735
53.238597,192523.467493916,-3166082.14458356,192523.467493916,192523.467493916,-3166082.14458356,-86.5202367396125
54.259923,143449.430240197,-2876223.88085625,143449.430240197,143449.430240197,-2876223.88085625,-87.1447833586087
55.300843,77148.9617769869,-3001402.86053236,77148.9617769869,77148.9617769869,-3001402.86053236,-88.5275762772166
56.361731,263618.96192655,-2824271.38227567,263618.96192655,263618.96192655,-2824271.38227567,-84.6674328589494
57.442972,106462.561397113,-2760491.2656678,106462.561397113,106462.561397113,-2760491.2656678,-87.791395338033
58.544955,115148.39859997,-2789450.51758506,115148.39859997,115148.39859997,-2789450.51758506,-87.6361747318294
59.668078,159411.857194074,-2773475.17227649,159411.857194074,159411.857194074,-2773475.17227649,-86.7104127946623
60.812747,122931.598497677,-2695402.37958866,122931.598497677,122931.598497677,-2695402.37958866,-87.3886703337679
61.979376,116361.017886994,-2617947.30952858,116361.017886994,116361.017886994,-2617947.30952858,-87.4550251575671
63.168385,132640.52333721,-2532473.94510036,132640.52333721,132640.52333721,-2532473.94510036,-87.0018233255099
64.380204,198423.187571089,-2613056.42951294,198423.187571089,198423.187571089,-2613056.42951294,-85.6575622032986
